Province,Municipality,Barangay
 Agusan del Norte, Butuan,Pagatpatan
 Agusan del Norte, Butuan,Pangabugan
 Agusan del Norte, Butuan,Pianing
 Agusan del Norte, Butuan,Pigdaulan
 Agusan del Norte, Butuan,Pinamanculan
 Agusan del Norte, Butuan,Port Poyohon Poblacion
 Agusan del Norte, Butuan,Rajah Soliman Poblacion
 Agusan del Norte, Butuan,Salvacion
 Agusan del Norte, Butuan,San Ignacio Poblacion
 Agusan del Norte, Butuan,San Mateo
 Agusan del Norte, Butuan,San Vicente
 Agusan del Norte, Butuan,Santo Nino
 Agusan del Norte, Butuan,Sikatuna Poblacion
 Agusan del Norte, Butuan,Silongan Poblacion
 Agusan del Norte, Butuan,Sumile
 Agusan del Norte, Butuan,Sumilihon
 Agusan del Norte, Butuan,Tagabaca
 Agusan del Norte, Butuan,Taguibo
 Agusan del Norte, Butuan,Taligaman
 Agusan del Norte, Butuan,Tandang Sora Poblacion
 Agusan del Norte, Butuan,Tiniwisan
 Agusan del Norte, Butuan,Tungao
 Agusan del Norte, Butuan,Urduja Poblacion
 Agusan del Norte, Butuan,Villa Kananga
 Benguet, Baguio,A. Bonifacio-Caguioa-Rimando
 Benguet, Baguio,Abanao-Zandueta-Kayong-Chugum-Otek
 Benguet, Baguio,Alfonso Tabora
 Benguet, Baguio,Ambiong
 Benguet, Baguio,Andres Bonifacio
 Benguet, Baguio,Apugan-Loakan
 Benguet, Baguio,Asin Road
 Benguet, Baguio,Atok Trail
 Benguet, Baguio,Aurora Hill Proper
 Benguet, Baguio,Aurora Hill  North Central
 Benguet, Baguio,Aurora Hill South Central
 Benguet, Baguio,BGH Compound
 Benguet, Baguio,Bagong Lipunan
 Benguet, Baguio,Bakakeng Central
 Benguet, Baguio,Bakakeng North
 Benguet, Baguio,Bal-Marcoville
 Benguet, Baguio,Balsigan
 Benguet, Baguio,Bayan Park East
 Benguet, Baguio,Bayan Park Village
 Benguet, Baguio,Bayan Park West
 Benguet, Baguio,Brookside
 Benguet, Baguio,Brookspoint
 Benguet, Baguio,Cabinet Hill-Teacher's Camp
 Benguet, Baguio,Camdas Subdivision
 Benguet, Baguio,Camp 7
 Benguet, Baguio,Camp 8
 Benguet, Baguio,Camp Allen
 Benguet, Baguio,Campo Filipino
 Benguet, Baguio,City Camp Central
 Benguet, Baguio,City Camp Proper
 Benguet, Baguio,Country Club Village
 Benguet, Baguio,Cresencia Village
 Benguet, Baguio,DPS Area
 Benguet, Baguio,Dagsian  Lower 
 Benguet, Baguio,Dagsian  Upper
 Benguet, Baguio,Dizon Subdivision
 Benguet, Baguio,Dominican Hill-Mirador
 Benguet, Baguio,Dontogan
 Benguet, Baguio,Engineers' Hill
 Benguet, Baguio,Fairview Village
 Benguet, Baguio,Ferdinand
 Benguet, Baguio,Fort del Pilar
 Benguet, Baguio,Gabriela Silang
 Benguet, Baguio,General Emilio F. Aguinaldo
 Benguet, Baguio,General Luna Lower
 Benguet, Baguio,General Luna Upper
 Benguet, Baguio,Gibraltar
 Benguet, Baguio,Greenwater Village
 Benguet, Baguio,Guisad Central
 Benguet, Baguio,Guisad Sorong
 Benguet, Baguio,Happy Hollow
 Benguet, Baguio,Happy Homes
 Benguet, Baguio,Harrison-Claudio Carantes
 Benguet, Baguio,Hillside
 Benguet, Baguio,Holy Ghost Extension
 Benguet, Baguio,Holy Ghost Proper
 Benguet, Baguio,Honeymoon
 Benguet, Baguio,Imelda R. Marcos
 Benguet, Baguio,Imelda Village
 Benguet, Baguio,Irisan
 Benguet, Baguio,Kabayanihan
 Benguet, Baguio,Kagitingan
 Benguet, Baguio,Kayang Extension
 Benguet, Baguio,Kayang-Hilltop
 Benguet, Baguio,Kias
 Benguet, Baguio,Legarda-Burnham-Kisad
 Benguet, Baguio,Liwanag-Loakan
 Benguet, Baguio,Loakan Proper
 Benguet, Baguio,Lopez Jaena
 Benguet, Baguio,Lourdes Subdivision Extension
 Benguet, Baguio,Lourdes Subdivision  Lower
 Benguet, Baguio,Lourdes Subdivision  Proper
 Benguet, Baguio,Lualhati
 Benguet, Baguio,Lucnab
 Benguet, Baguio,MRR-Queen of Peace
 Benguet, Baguio,Magsaysay Private Road
 Benguet, Baguio,Magsaysay Lower
 Benguet, Baguio,Magsaysay Upper
 Benguet, Baguio,Malcolm Square-Perfecto
 Benguet, Baguio,Manuel A. Roxas
 Benguet, Baguio,Market Subdivision Upper
 Benguet, Baguio,Middle Quezon Hill Subdivision
 Benguet, Baguio,Military Cut-off
 Benguet, Baguio,Mines View Park
 Benguet, Baguio,Modern Site East
 Benguet, Baguio,Modern Site West
 Benguet, Baguio,New Lucban
 Benguet, Baguio,Outlook Drive
 Benguet, Baguio,Pacdal
 Benguet, Baguio,Padre Burgos
 Benguet, Baguio,Padre Zamora
 Benguet, Baguio,Palma-Urbano
 Benguet, Baguio,Phil-Am
 Benguet, Baguio,Pinget
 Benguet, Baguio,Pinsao Pilot Project
 Benguet, Baguio,Pinsao Proper
 Benguet, Baguio,Poliwes
 Benguet, Baguio,Pucsusan
 Benguet, Baguio,Quezon Hill Proper
 Benguet, Baguio,Quezon Hill  Upper
 Benguet, Baguio,Quirino Hill  East
 Benguet, Baguio,Quirino Hill  Lower
 Benguet, Baguio,Quirino Hill  Middle
 Benguet, Baguio,Quirino Hill West
 Benguet, Baguio,Quirino-Magsaysay  Upper
 Benguet, Baguio,Rizal Monument Area
 Benguet, Baguio,Rock Quarry  Lower
 Benguet, Baguio,Rock Quarry Middle
 Benguet, Baguio,Rock Quarry Upper
 Benguet, Baguio,SLU-SVP Housing Village
 Benguet, Baguio,Saint Joseph Village
 Benguet, Baguio,Salud Mitra
 Benguet, Baguio,San Antonio Village
 Benguet, Baguio,San Luis Village
 Benguet, Baguio,San Roque Village
 Benguet, Baguio,San Vicente
 Benguet, Baguio,Sanitary Camp North
 Benguet, Baguio,Sanitary Camp  South
 Benguet, Baguio,Santa Escolastica
 Benguet, Baguio,Santo Rosario
 Benguet, Baguio,Santo Tomas Proper
 Benguet, Baguio,Santo Tomas School Area
 Benguet, Baguio,Scout Barrio
 Benguet, Baguio,Session Road Area
 Benguet, Baguio,Slaughter House Area
 Benguet, Baguio,South Drive
 Benguet, Baguio,Teodora Alonzo
 Benguet, Baguio,Trancoville
 Benguet, Baguio,Victoria Village
 Metro Manila, Caloocan,Barangay 1
 Metro Manila, Caloocan,Barangay 10
 Metro Manila, Caloocan,Barangay 100
 Metro Manila, Caloocan,Barangay 101
 Metro Manila, Caloocan,Barangay 102
 Metro Manila, Caloocan,Barangay 103
 Metro Manila, Caloocan,Barangay 104
 Metro Manila, Caloocan,Barangay 105
 Metro Manila, Caloocan,Barangay 106
 Metro Manila, Caloocan,Barangay 107
 Metro Manila, Caloocan,Barangay 108
 Metro Manila, Caloocan,Barangay 109
 Metro Manila, Caloocan,Barangay 11
 Metro Manila, Caloocan,Barangay 110
 Metro Manila, Caloocan,Barangay 111
 Metro Manila, Caloocan,Barangay 112
 Metro Manila, Caloocan,Barangay 113
 Metro Manila, Caloocan,Barangay 114
 Metro Manila, Caloocan,Barangay 115
 Metro Manila, Caloocan,Barangay 116
 Metro Manila, Caloocan,Barangay 117
 Metro Manila, Caloocan,Barangay 118
 Metro Manila, Caloocan,Barangay 119
 Metro Manila, Caloocan,Barangay 12
 Metro Manila, Caloocan,Barangay 120
 Metro Manila, Caloocan,Barangay 121
 Metro Manila, Caloocan,Barangay 122
 Metro Manila, Caloocan,Barangay 123
 Metro Manila, Caloocan,Barangay 124
 Metro Manila, Caloocan,Barangay 125
 Metro Manila, Caloocan,Barangay 126
 Metro Manila, Caloocan,Barangay 127
 Metro Manila, Caloocan,Barangay 128
 Metro Manila, Caloocan,Barangay 129
 Metro Manila, Caloocan,Barangay 13
 Metro Manila, Caloocan,Barangay 130
 Metro Manila, Caloocan,Barangay 131
 Metro Manila, Caloocan,Barangay 132
 Metro Manila, Caloocan,Barangay 133
 Metro Manila, Caloocan,Barangay 134
 Metro Manila, Caloocan,Barangay 135
 Metro Manila, Caloocan,Barangay 136
 Metro Manila, Caloocan,Barangay 137
 Metro Manila, Caloocan,Barangay 138
 Metro Manila, Caloocan,Barangay 139
 Metro Manila, Caloocan,Barangay 14
 Metro Manila, Caloocan,Barangay 140
 Metro Manila, Caloocan,Barangay 141
 Metro Manila, Caloocan,Barangay 142
 Metro Manila, Caloocan,Barangay 143
 Metro Manila, Caloocan,Barangay 144
 Metro Manila, Caloocan,Barangay 145
 Metro Manila, Caloocan,Barangay 146
 Metro Manila, Caloocan,Barangay 147
 Metro Manila, Caloocan,Barangay 148
 Metro Manila, Caloocan,Barangay 149
 Metro Manila, Caloocan,Barangay 15
 Metro Manila, Caloocan,Barangay 150
 Metro Manila, Caloocan,Barangay 151
 Metro Manila, Caloocan,Barangay 152
 Metro Manila, Caloocan,Barangay 153
 Metro Manila, Caloocan,Barangay 154
 Metro Manila, Caloocan,Barangay 155
 Metro Manila, Caloocan,Barangay 156
 Metro Manila, Caloocan,Barangay 157
 Metro Manila, Caloocan,Barangay 158
 Metro Manila, Caloocan,Barangay 159
 Metro Manila, Caloocan,Barangay 16
 Metro Manila, Caloocan,Barangay 160
 Metro Manila, Caloocan,Barangay 161
 Metro Manila, Caloocan,Barangay 162
 Metro Manila, Caloocan,Barangay 163
 Metro Manila, Caloocan,Barangay 164
 Metro Manila, Caloocan,Barangay 165
 Metro Manila, Caloocan,Barangay 166
 Metro Manila, Caloocan,Barangay 167
 Metro Manila, Caloocan,Barangay 168
 Metro Manila, Caloocan,Barangay 169
 Metro Manila, Caloocan,Barangay 17
 Metro Manila, Caloocan,Barangay 170
 Metro Manila, Caloocan,Barangay 171
 Metro Manila, Caloocan,Barangay 172
 Metro Manila, Caloocan,Barangay 173
 Metro Manila, Caloocan,Barangay 174
 Metro Manila, Caloocan,Barangay 175
 Metro Manila, Caloocan,Barangay 176
 Metro Manila, Caloocan,Barangay 177
 Metro Manila, Caloocan,Barangay 178
 Metro Manila, Caloocan,Barangay 179
 Metro Manila, Caloocan,Barangay 18
 Metro Manila, Caloocan,Barangay 180
 Metro Manila, Caloocan,Barangay 181
 Metro Manila, Caloocan,Barangay 182
 Metro Manila, Caloocan,Barangay 183
 Metro Manila, Caloocan,Barangay 184
 Metro Manila, Caloocan,Barangay 185
 Metro Manila, Caloocan,Barangay 186
 Metro Manila, Caloocan,Barangay 187
 Metro Manila, Caloocan,Barangay 188
 Metro Manila, Caloocan,Barangay 19
 Metro Manila, Caloocan,Barangay 2
 Metro Manila, Caloocan,Barangay 20
 Metro Manila, Caloocan,Barangay 21
 Metro Manila, Caloocan,Barangay 22
 Metro Manila, Caloocan,Barangay 23
 Metro Manila, Caloocan,Barangay 24
 Metro Manila, Caloocan,Barangay 25
 Metro Manila, Caloocan,Barangay 26
 Metro Manila, Caloocan,Barangay 27
 Metro Manila, Caloocan,Barangay 28
 Metro Manila, Caloocan,Barangay 29
 Metro Manila, Caloocan,Barangay 3
 Metro Manila, Caloocan,Barangay 30
 Metro Manila, Caloocan,Barangay 31
 Metro Manila, Caloocan,Barangay 32
 Metro Manila, Caloocan,Barangay 33
 Metro Manila, Caloocan,Barangay 34
 Metro Manila, Caloocan,Barangay 35
 Metro Manila, Caloocan,Barangay 36
 Metro Manila, Caloocan,Barangay 37
 Metro Manila, Caloocan,Barangay 38
 Metro Manila, Caloocan,Barangay 39
 Metro Manila, Caloocan,Barangay 4
 Metro Manila, Caloocan,Barangay 40
 Metro Manila, Caloocan,Barangay 41
 Metro Manila, Caloocan,Barangay 42
 Metro Manila, Caloocan,Barangay 43
 Metro Manila, Caloocan,Barangay 44
 Metro Manila, Caloocan,Barangay 45
 Metro Manila, Caloocan,Barangay 46
 Metro Manila, Caloocan,Barangay 47
 Metro Manila, Caloocan,Barangay 48
 Metro Manila, Caloocan,Barangay 49
 Metro Manila, Caloocan,Barangay 5
 Metro Manila, Caloocan,Barangay 50
 Metro Manila, Caloocan,Barangay 51
 Metro Manila, Caloocan,Barangay 52
 Metro Manila, Caloocan,Barangay 53
 Metro Manila, Caloocan,Barangay 54
 Metro Manila, Caloocan,Barangay 55
 Metro Manila, Caloocan,Barangay 56
 Metro Manila, Caloocan,Barangay 57
 Metro Manila, Caloocan,Barangay 58
 Metro Manila, Caloocan,Barangay 59
 Metro Manila, Caloocan,Barangay 6
 Metro Manila, Caloocan,Barangay 60
 Metro Manila, Caloocan,Barangay 61
 Metro Manila, Caloocan,Barangay 62
 Metro Manila, Caloocan,Barangay 63
 Metro Manila, Caloocan,Barangay 64
 Metro Manila, Caloocan,Barangay 65
 Metro Manila, Caloocan,Barangay 66
 Metro Manila, Caloocan,Barangay 67
 Metro Manila, Caloocan,Barangay 68
 Metro Manila, Caloocan,Barangay 69
 Metro Manila, Caloocan,Barangay 7
 Metro Manila, Caloocan,Barangay 70
 Metro Manila, Caloocan,Barangay 71
 Metro Manila, Caloocan,Barangay 72
 Metro Manila, Caloocan,Barangay 73
 Metro Manila, Caloocan,Barangay 74
 Metro Manila, Caloocan,Barangay 75
 Metro Manila, Caloocan,Barangay 76
 Metro Manila, Caloocan,Barangay 77
 Metro Manila, Caloocan,Barangay 78
 Metro Manila, Caloocan,Barangay 79
 Metro Manila, Caloocan,Barangay 8
 Metro Manila, Caloocan,Barangay 80
 Metro Manila, Caloocan,Barangay 81
 Metro Manila, Caloocan,Barangay 82
 Metro Manila, Caloocan,Barangay 83
 Metro Manila, Caloocan,Barangay 84
 Metro Manila, Caloocan,Barangay 85
 Metro Manila, Caloocan,Barangay 86
 Metro Manila, Caloocan,Barangay 87
 Metro Manila, Caloocan,Barangay 88
 Metro Manila, Caloocan,Barangay 89
 Metro Manila, Caloocan,Barangay 9
 Metro Manila, Caloocan,Barangay 90
 Metro Manila, Caloocan,Barangay 91
 Metro Manila, Caloocan,Barangay 92
 Metro Manila, Caloocan,Barangay 93
 Metro Manila, Caloocan,Barangay 94
 Metro Manila, Caloocan,Barangay 95
 Metro Manila, Caloocan,Barangay 96
 Metro Manila, Caloocan,Barangay 97
 Metro Manila, Caloocan,Barangay 98
 Metro Manila, Caloocan,Barangay 99
 Metro Manila, Caloocan,Barangay 94
 Metro Manila, Caloocan,Barangay 95
 Metro Manila, Caloocan,Barangay 96
 Metro Manila, Caloocan,Barangay 97
 Metro Manila, Caloocan,Barangay 98
 Metro Manila, Caloocan,Barangay 99
 Cebu, Cebu City,Adlaon
 Cebu, Cebu City,Agsungot
 Cebu, Cebu City,Apas
 Cebu, Cebu City,Babag
 Cebu, Cebu City,Bacayan
 Cebu, Cebu City,Banilad
 Cebu, Cebu City,Basak Pardo
 Cebu, Cebu City,Basak San Nicolas
 Cebu, Cebu City,Binaliw
 Cebu, Cebu City,Bonbon
 Cebu, Cebu City,Budla-an
 Cebu, Cebu City,Buhisan
 Cebu, Cebu City,Bulacao
 Cebu, Cebu City,Buot-Taup Pardo
 Cebu, Cebu City,Busay
 Cebu, Cebu City,Calamba
 Cebu, Cebu City,Cambinocot
 Cebu, Cebu City,Kamputhaw
 Cebu, Cebu City,Capitol Site
 Cebu, Cebu City,Carreta
 Cebu, Cebu City,Central
 Cebu, Cebu City,Cogon Pardo
 Cebu, Cebu City,Cogon Ramos
 Cebu, Cebu City,Day-as
 Cebu, Cebu City,Duljo
 Cebu, Cebu City,Ermita
 Cebu, Cebu City,Guadalupe
 Cebu, Cebu City,Guba
 Cebu, Cebu City,Hippodromo
 Cebu, Cebu City,Inayawan
 Cebu, Cebu City,Kalubihan
 Cebu, Cebu City,Kalunasan
 Cebu, Cebu City,Kamagayan
 Cebu, Cebu City,Kasambagan
 Cebu, Cebu City,Kinasang-an Pardo
 Cebu, Cebu City,Labangon
 Cebu, Cebu City,Lahug
 Cebu, Cebu City,Lorega
 Cebu, Cebu City,Lusaran
 Cebu, Cebu City,Luz
 Cebu, Cebu City,Mabini
 Cebu, Cebu City,Mabolo
 Cebu, Cebu City,Malubog
 Cebu, Cebu City,Mambaling
 Cebu, Cebu City,Pahina Central
 Cebu, Cebu City,Pahina San Nicolas
 Cebu, Cebu City,Pamutan
 Cebu, Cebu City,Pardo
 Cebu, Cebu City,Pari-an
 Cebu, Cebu City,Paril
 Cebu, Cebu City,Pasil
 Cebu, Cebu City,Pit-os
 Cebu, Cebu City,Pulangbato
 Cebu, Cebu City,Pung-ol-Sibugay
 Cebu, Cebu City,Punta Princesa
 Cebu, Cebu City,Quiot Pardo
 Cebu, Cebu City,Sambag I
 Cebu, Cebu City,Sambag II
 Cebu, Cebu City,San Antonio
 Cebu, Cebu City,San Jose
 Cebu, Cebu City,San Nicolas Central
 Cebu, Cebu City,San Roque
 Cebu, Cebu City,Santa Cruz
 Cebu, Cebu City,Sapangdaku
 Cebu, Cebu City,Sawang Calero
 Cebu, Cebu City,Sinsin
 Cebu, Cebu City,Sirao
 Cebu, Cebu City,Suba Poblacion
 Cebu, Cebu City,Sudlon I
 Cebu, Cebu City,Sudlon II
 Cebu, Cebu City,T. Padilla
 Cebu, Cebu City,Tabunan
 Cebu, Cebu City,Tagbao
 Cebu, Cebu City,Talamban
 Cebu, Cebu City,Taptap
 Cebu, Cebu City,Tejero
 Cebu, Cebu City,Tinago
 Cebu, Cebu City,Tisa
 Cebu, Cebu City,To-ong Pardo
 Cebu, Cebu City,Zapatera
 Cebu, Mandaue,Alang-alang
 Cebu, Mandaue,Bakilid
 Cebu, Mandaue,Banilad
 Cebu, Mandaue,Basak
 Cebu, Mandaue,Cabancalan
 Cebu, Mandaue,Cambaro
 Cebu, Mandaue,Canduman
 Cebu, Mandaue,Casili
 Cebu, Mandaue,Casuntingan
 Cebu, Mandaue,Centro
 Cebu, Mandaue,Cubacub
 Cebu, Mandaue,Guizo
 Cebu, Mandaue,Ibabao-Estancia
 Cebu, Mandaue,Jagobiao
 Cebu, Mandaue,Labogon
 Cebu, Mandaue,Looc
 Cebu, Mandaue,Maguikay
 Cebu, Mandaue,Mantuyong
 Cebu, Mandaue,Opao
 Cebu, Mandaue,Pagsabungan
 Cebu, Mandaue,Pakna-an
 Cebu, Mandaue,Subangdaku
 Cebu, Mandaue,Tabok
 Cebu, Mandaue,Tawason
 Cebu, Mandaue,Tingub
 Cebu, Mandaue,Tipolo
 Cebu, Mandaue,Umapad
 Davao del Sur, Davao City,Acacia
 Davao del Sur, Davao City,Agdao
 Davao del Sur, Davao City,Alambre
 Davao del Sur, Davao City,Alejandra Navarro
 Davao del Sur, Davao City,Alfonso Angliongto Sr.
 Davao del Sur, Davao City,Angalan
 Davao del Sur, Davao City,Atan-awe
 Davao del Sur, Davao City,Baganihan
 Davao del Sur, Davao City,Bago Aplaya
 Davao del Sur, Davao City,Bago Gallera
 Davao del Sur, Davao City,Bago Oshiro
 Davao del Sur, Davao City,Baguio
 Davao del Sur, Davao City,Balengaeng
 Davao del Sur, Davao City,Baliok
 Davao del Sur, Davao City,Bangkas Heights
 Davao del Sur, Davao City,Bantol
 Davao del Sur, Davao City,Baracatan
 Davao del Sur, Davao City,Barangay 1-A
 Davao del Sur, Davao City,Barangay 10-A
 Davao del Sur, Davao City,Barangay 11-B
 Davao del Sur, Davao City,Barangay 12-B
 Davao del Sur, Davao City,Barangay 13-B
 Davao del Sur, Davao City,Barangay 14-B
 Davao del Sur, Davao City,Barangay 15-B
 Davao del Sur, Davao City,Barangay 16-B
 Davao del Sur, Davao City,Barangay 17-B
 Davao del Sur, Davao City,Barangay 18-B
 Davao del Sur, Davao City,Barangay 19-B
 Davao del Sur, Davao City,Barangay 2-A
 Davao del Sur, Davao City,Barangay 20-B
 Davao del Sur, Davao City,Barangay 21-C
 Davao del Sur, Davao City,Barangay 22-C
 Davao del Sur, Davao City,Barangay 23-C
 Davao del Sur, Davao City,Barangay 24-C
 Davao del Sur, Davao City,Barangay 25-C
 Davao del Sur, Davao City,Barangay 26-C
 Davao del Sur, Davao City,Barangay 27-C
 Davao del Sur, Davao City,Barangay 28-C
 Davao del Sur, Davao City,Barangay 29-C
 Davao del Sur, Davao City,Barangay 3 A
 Davao del Sur, Davao City,Barangay 30-C
 Davao del Sur, Davao City,Barangay 31-D
 Davao del Sur, Davao City,Barangay 32-D
 Davao del Sur, Davao City,Barangay 33-D
 Davao del Sur, Davao City,Barangay 34-D
 Davao del Sur, Davao City,Barangay 35-D
 Davao del Sur, Davao City,Barangay 36-D
 Davao del Sur, Davao City,Barangay 37-D
 Davao del Sur, Davao City,Barangay 38-D
 Davao del Sur, Davao City,Barangay 39-D
 Davao del Sur, Davao City,Barangay 4-A
 Davao del Sur, Davao City,Barangay 40-D
 Davao del Sur, Davao City,Barangay 5-A
 Davao del Sur, Davao City,Barangay 6-A
 Davao del Sur, Davao City,Barangay 7-A
 Davao del Sur, Davao City,Barangay 8-A
 Davao del Sur, Davao City,Barangay 9-A
 Davao del Sur, Davao City,Bato
 Davao del Sur, Davao City,Bayabas
 Davao del Sur, Davao City,Biao Escuela
 Davao del Sur, Davao City,Biao Guianga
 Davao del Sur, Davao City,Biao Joaquin
 Davao del Sur, Davao City,Binugao
 Davao del Sur, Davao City,Bucana
 Davao del Sur, Davao City,Buda
 Davao del Sur, Davao City,Buhangin
 Davao del Sur, Davao City,Bunawan
 Davao del Sur, Davao City,Cabantian
 Davao del Sur, Davao City,Cadalian
 Davao del Sur, Davao City,Calinan
 Davao del Sur, Davao City,Callawa
 Davao del Sur, Davao City,Camansi
 Davao del Sur, Davao City,Carmen
 Davao del Sur, Davao City,Catalunan Grande
 Davao del Sur, Davao City,Catalunan Pequeño
 Davao del Sur, Davao City,Catigan
 Davao del Sur, Davao City,Cawayan
 Davao del Sur, Davao City,Centro
 Davao del Sur, Davao City,Colosas
 Davao del Sur, Davao City,Communal
 Davao del Sur, Davao City,Crossing Bayabas
 Davao del Sur, Davao City,Dacudao
 Davao del Sur, Davao City,Dalag
 Davao del Sur, Davao City,Dalagdag
 Davao del Sur, Davao City,Daliao
 Davao del Sur, Davao City,Daliaon Plantation
 Davao del Sur, Davao City,Datu Salumay
 Davao del Sur, Davao City,Dominga
 Davao del Sur, Davao City,Dumoy
 Davao del Sur, Davao City,Eden
 Davao del Sur, Davao City,Fatima
 Davao del Sur, Davao City,Gatungan
 Davao del Sur, Davao City,Gov. Paciano Bangoy
 Davao del Sur, Davao City,Gov. Vicente Duterte
 Davao del Sur, Davao City,Gumalang
 Davao del Sur, Davao City,Gumitan
 Davao del Sur, Davao City,Ilang
 Davao del Sur, Davao City,Inayangan
 Davao del Sur, Davao City,Indangan
 Davao del Sur, Davao City,Kap. Tomas Monteverde  Sr.
 Davao del Sur, Davao City,Kilate
 Davao del Sur, Davao City,Lacson
 Davao del Sur, Davao City,Lamanan
 Davao del Sur, Davao City,Lampianao
 Davao del Sur, Davao City,Langub
 Davao del Sur, Davao City,Lapu-lapu
 Davao del Sur, Davao City,Leon Garcia  Sr.
 Davao del Sur, Davao City,Lizada
 Davao del Sur, Davao City,Los Amigos
 Davao del Sur, Davao City,Lubogan
 Davao del Sur, Davao City,Lumiad
 Davao del Sur, Davao City,Ma-a
 Davao del Sur, Davao City,Mabuhay
 Davao del Sur, Davao City,Magsaysay
 Davao del Sur, Davao City,Magtuod
 Davao del Sur, Davao City,Mahayag
 Davao del Sur, Davao City,Malabog
 Davao del Sur, Davao City,Malagos
 Davao del Sur, Davao City,Malamba
 Davao del Sur, Davao City,Manambulan
 Davao del Sur, Davao City,Mandug
 Davao del Sur, Davao City,Manuel Guianga
 Davao del Sur, Davao City,Mapula
 Davao del Sur, Davao City,Marapangi
 Davao del Sur, Davao City,Marilog
 Davao del Sur, Davao City,Matina Aplaya
 Davao del Sur, Davao City,Matina Biao
 Davao del Sur, Davao City,Matina Crossing
 Davao del Sur, Davao City,Matina Pangi
 Davao del Sur, Davao City,Megkawayan
 Davao del Sur, Davao City,Mintal
 Davao del Sur, Davao City,Mudiang
 Davao del Sur, Davao City,Mulig
 Davao del Sur, Davao City,New Carmen
 Davao del Sur, Davao City,New Valencia
 Davao del Sur, Davao City,Pampanga
 Davao del Sur, Davao City,Panacan
 Davao del Sur, Davao City,Panalum
 Davao del Sur, Davao City,Pandaitan
 Davao del Sur, Davao City,Pangyan
 Davao del Sur, Davao City,Paquibato
 Davao del Sur, Davao City,Paradise Embak
 Davao del Sur, Davao City,Rafael Castillo
 Davao del Sur, Davao City,Riverside
 Davao del Sur, Davao City,Salapawan
 Davao del Sur, Davao City,Salaysay
 Davao del Sur, Davao City,Saloy
 Davao del Sur, Davao City,San Antonio
 Davao del Sur, Davao City,San Isidro
 Davao del Sur, Davao City,Santo Nino
 Davao del Sur, Davao City,Sasa
 Davao del Sur, Davao City,Sibulan
 Davao del Sur, Davao City,Sirawan
 Davao del Sur, Davao City,Sirib
 Davao del Sur, Davao City,Suawan
 Davao del Sur, Davao City,Subasta
 Davao del Sur, Davao City,Sumimao
 Davao del Sur, Davao City,Tacunan
 Davao del Sur, Davao City,Tagakpan
